idc   ide    volume peso  recompensa duracao
1 134 3 3 575 287
1 149 3 3 715 977
1 262 3 3 355 869
1 392 3 3 699 786
1 397 3 3 1563 535
1 34 6 3 1347 609
1 117 6 3 615 970
1 141 6 3 453 537
1 427 6 3 1176 551
1 62 3 7 1565 226
1 68 7 3 1823 958
1 431 7 3 1607 273
1 54 3 9 1558 1056
1 22 10 3 1886 632
1 47 3 10 579 103
1 107 10 3 547 766
1 140 3 10 1475 786
1 167 10 3 1641 417
1 260 3 10 984 463
1 344 3 10 1791 520
1 28 6 6 564 1017
1 166 6 6 631 145
1 219 6 6 1445 1014
1 268 6 6 779 122
1 396 6 6 1058 294
1 420 6 6 1921 197
1 435 6 6 442 900
1 21 13 3 621 723
1 25 3 13 1907 307
1 37 3 13 472 300
1 88 13 3 466 937
1 98 3 13 633 583
1 144 3 13 1889 538
1 154 13 3 795 302
1 193 13 3 203 818
1 194 3 13 1502 270
1 198 13 3 455 292
1 213 3 13 685 443
1 222 3 13 1210 892
1 231 13 3 699 1056
1 299 13 3 690 686
1 305 3 13 1313 1080
1 316 3 13 355 737
1 360 3 13 1306 202
1 393 3 13 530 916
1 395 3 13 751 234
1 24 3 16 501 692
1 139 16 3 262 658
1 153 3 16 1456 192
1 165 3 16 220 351
1 218 3 16 1796 762
1 271 16 3 279 744
1 280 16 3 477 194
1 330 16 3 704 1025
1 361 16 3 227 464
2 361 16 3 227 464
2 387 16 3 1518 1053
2 416 3 16 1391 846
2 439 3 16 1105 256
2 440 16 3 836 819
2 444 3 16 753 124
2 146 7 7 1524 189
2 233 7 7 501 800
2 311 7 7 828 643
2 132 9 6 748 381
2 315 9 6 1467 681
2 1 3 19 754 984
2 9 3 19 585 827
2 18 3 19 1432 1051
2 39 19 3 762 269
2 52 3 19 600 422
2 174 3 19 952 540
2 207 3 19 1928 713
2 225 19 3 1814 369
2 226 19 3 784 755
2 255 19 3 1982 619
2 313 3 19 901 980
2 321 19 3 638 618
2 324 19 3 1547 279
2 336 19 3 522 1009
2 20 3 20 1645 316
2 50 3 20 1263 905
2 124 6 10 1572 528
2 197 3 20 1434 362
2 259 10 6 1765 970
2 308 20 3 1785 160
2 352 10 6 542 430
2 388 10 6 1747 577
2 394 6 10 465 900
2 412 6 10 713 921
2 91 22 3 480 1037
2 112 22 3 338 357
2 138 3 22 1662 201
3 138 3 22 1662 201
3 210 22 3 1492 283
3 241 3 22 940 937
3 379 22 3 1565 763
3 438 3 22 1768 195
3 17 3 23 1410 1028
3 251 3 23 571 632
3 389 23 3 1396 143
3 404 3 23 697 699
3 221 10 7 1801 301
3 263 7 10 1672 419
3 374 7 10 1630 963
3 437 7 10 801 919
3 187 6 13 1201 715
3 204 13 6 223 597
3 283 13 6 1475 889
3 304 6 13 1713 686
3 325 13 6 1062 195
3 348 13 6 1987 926
3 363 13 6 1699 1020
3 381 13 6 580 558
3 423 13 6 490 406
3 15 9 9 1137 1019
3 342 9 9 427 447
3 38 7 13 898 325
3 254 7 13 734 917
3 401 7 13 1210 414
3 67 16 6 1332 642
3 103 16 6 755 874
3 172 6 16 1023 132
3 229 16 6 1188 697
3 246 16 6 1907 397
3 261 6 16 618 1039
3 274 6 16 647 872
3 85 10 10 588 654
4 85 10 10 588 654
4 94 10 10 1856 576
4 128 10 10 1285 483
4 442 10 10 553 631
4 248 7 16 789 650
4 383 7 16 764 617
